day,time,precipitation,temperature,mean_wind_speed,mean_wind_speed,mean_wind_dir,max_wind_speed,max_wind_dir,sunshine
2014-08-11,00:10,0.0,19.1,12.3,東,16.4,東
 2014-08-11,00:20,0.0,19.3,12.4,東,17.5,東
 2014-08-11,00:30,0.0,19.3,12.9,東,17.7,東
 2014-08-11,00:40,0.0,19.3,13.2,東,18.1,東
 2014-08-11,00:50,0.0,19.3,12.8,東,16.9,東
 2014-08-11,01:00,0.0,19.2,11.5,東,16.5,東
 2014-08-11,01:10,0.0,19.0,12.6,東,16.7,東
 2014-08-11,01:20,0.0,19.1,11.6,東,16.4,東
 2014-08-11,01:30,0.0,19.0,11.3,東,16.1,東
 2014-08-11,01:40,0.0,18.9,12.2,東,16.9,東
 2014-08-11,01:50,0.0,19.0,12.2,東,17.8,東
 2014-08-11,02:00,0.0,19.1,12.6,東,16.3,東
 2014-08-11,02:10,0.0,18.9,12.1,東,16.4,東
 2014-08-11,02:20,0.0,18.8,13.2,東,17.5,東南東
 2014-08-11,02:30,0.0,18.8,11.9,東,16.3,東
 2014-08-11,02:40,0.0,18.7,13.3,東,18.7,東
 2014-08-11,02:50,0.0,18.6,13.6,東,18.0,東南東
 2014-08-11,03:00,0.0,18.5,13.8,東,17.9,東
 2014-08-11,03:10,0.0,18.4,13.6,東,18.6,東
 2014-08-11,03:20,0.5,18.3,14.2,東,18.9,東
 2014-08-11,03:30,0.0,18.1,14.8,東,19.0,東南東
 2014-08-11,03:40,0.5,18.1,14.0,東,18.4,東南東
 2014-08-11,03:50,0.0,18.0,14.1,東,20.1,東
 2014-08-11,04:00,0.0,17.8,13.3,東,19.0,東
 2014-08-11,04:10,0.0,17.7,14.3,東,21.2,東
 2014-08-11,04:20,0.0,17.5,14.1,東,20.6,東
 2014-08-11,04:30,0.0,17.5,14.1,東,19.2,東,0
 2014-08-11,04:40,0.5,17.4,13.6,東,20.1,東,0
 2014-08-11,04:50,0.0,17.3,13.9,東,18.7,東,0
 2014-08-11,05:00,0.5,17.3,14.1,東,19.9,東,0
 2014-08-11,05:10,0.5,17.1,14.6,東,19.5,東,0
 2014-08-11,05:20,0.5,17.2,14.6,東,21.4,東,0
 2014-08-11,05:30,0.5,17.2,16.4,東,22.2,東,0
 2014-08-11,05:40,0.5,17.3,16.6,東,22.2,東,0
 2014-08-11,05:50,0.5,17.1,16.5,東,22.3,東,0
 2014-08-11,06:00,0.5,17.2,16.0,東,22.1,東,0
 2014-08-11,06:10,1.0,17.2,16.4,東,21.7,東,0
 2014-08-11,06:20,1.0,17.1,16.3,東,21.4,東,0
 2014-08-11,06:30,2.0,17.1,16.3,東,22.2,東,0
 2014-08-11,06:40,1.5,17.2,16.5,東,23.6,東,0
 2014-08-11,06:50,1.0,17.1,16.0,東,22.5,東,0
 2014-08-11,07:00,1.5,17.1,15.3,東,21.1,東,0
 2014-08-11,07:10,1.0,17.0,15.2,東,21.4,東,0
 2014-08-11,07:20,0.5,16.8,13.8,東,20.8,東,0
 2014-08-11,07:30,1.0,16.5,13.8,東,19.9,東,0
 2014-08-11,07:40,2.5,16.5,14.8,東,22.2,東,0
 2014-08-11,07:50,3.0,16.5,15.5,東,23.2,東,0
 2014-08-11,08:00,3.0,16.6,15.4,東,22.1,東,0
 2014-08-11,08:10,2.5,16.6,13.8,東,21.6,東,0
 2014-08-11,08:20,2.5,16.5,14.8,東,21.4,東,0
 2014-08-11,08:30,1.5,16.5,14.3,東,20.2,東,0
 2014-08-11,08:40,1.5,16.4,14.2,東,21.0,東,0
 2014-08-11,08:50,1.5,16.4,14.3,東,20.1,東,0
 2014-08-11,09:00,1.0,16.5,12.5,東,20.0,東,0
 2014-08-11,09:10,0.5,16.6,13.5,東,21.0,東,0
 2014-08-11,09:20,0.5,16.6,13.6,東,19.3,東,0
 2014-08-11,09:30,0.5,16.4,13.1,東,20.5,東,0
 2014-08-11,09:40,0.0,16.5,13.6,東,19.3,東,0
 2014-08-11,09:50,1.0,16.5,13.5,東,19.6,東,0
 2014-08-11,10:00,1.5,16.3,12.9,東,19.9,東,0
 2014-08-11,10:10,0.5,16.4,12.8,東,19.4,東,0
 2014-08-11,10:20,0.5,16.4,12.1,東,18.7,東,0
 2014-08-11,10:30,0.0,16.5,12.8,東,19.3,東,0
 2014-08-11,10:40,0.0,16.4,12.1,東,18.2,東,0
 2014-08-11,10:50,0.0,16.3,11.3,東,16.3,東,0
 2014-08-11,11:00,0.5,16.2,13.4,東,18.4,東,0
 2014-08-11,11:10,0.0,16.2,11.7,東,17.5,東,0
 2014-08-11,11:20,0.0,16.1,12.7,東,18.9,東北東,0
 2014-08-11,11:30,0.5,16.0,13.1,東,18.0,東,0
 2014-08-11,11:40,0.0,15.9,13.1,東北東,18.4,東,0
 2014-08-11,11:50,0.5,15.6,12.9,東北東,16.9,東,0
 2014-08-11,12:00,0.0,15.8,12.7,東北東,15.9,東北東,0
 2014-08-11,12:10,0.5,15.6,12.7,東北東,16.3,東北東,0
 2014-08-11,12:20,0.0,15.7,12.1,東北東,15.7,東北東,0
 2014-08-11,12:30,0.0,15.6,11.7,東北東,14.9,東北東,0
 2014-08-11,12:40,0.5,15.6,11.7,東北東,14.6,東北東,0
 2014-08-11,12:50,0.0,15.7,11.7,東北東,15.5,東北東,0
 2014-08-11,13:00,0.0,15.8,11.2,東北東,14.7,東北東,0
 2014-08-11,13:10,0.0,15.8,11.3,東北東,15.5,東北東,0
 2014-08-11,13:20,0.5,15.8,11.2,東北東,15.3,東北東,0
 2014-08-11,13:30,0.0,15.8,10.9,東北東,15.6,東北東,0
 2014-08-11,13:40,0.0,15.7,10.9,東北東,15.6,東北東,0
 2014-08-11,13:50,0.0,15.7,11.2,東北東,15.7,東北東,0
 2014-08-11,14:00,0.5,15.7,10.9,東北東,15.5,東北東,0
 2014-08-11,14:10,0.0,15.6,11.4,東北東,15.5,東北東,0
 2014-08-11,14:20,0.0,15.8,11.3,東北東,16.4,東北東,0
 2014-08-11,14:30,0.0,15.5,11.2,東北東,16.4,東北東,0
 2014-08-11,14:40,0.0,15.6,12.3,東北東,17.4,東北東,0
