day,time,precipitation,temperature,mean_wind_speed,mean_wind_speed,mean_wind_dir,max_wind_speed,max_wind_dir,sunshine
2015-08-11,00:10,0.0,16.9,7.1,東北東,9.8,東北東
 2015-08-11,00:20,0.0,17.0,6.5,東北東,8.6,東北東
 2015-08-11,00:30,0.0,17.0,6.5,東北東,8.9,東北東
 2015-08-11,00:40,0.0,16.9,6.6,東北東,9.6,東北東
 2015-08-11,00:50,0.0,17.0,6.3,東北東,8.6,東
 2015-08-11,01:00,0.0,16.8,7.2,東北東,9.1,東
 2015-08-11,01:10,0.0,16.8,6.6,東北東,8.8,東
 2015-08-11,01:20,0.0,16.7,6.4,東,9.3,東
 2015-08-11,01:30,0.0,16.7,5.5,東,8.5,東北東
 2015-08-11,01:40,0.0,16.9,6.5,東北東,9.1,東北東
 2015-08-11,01:50,0.0,16.8,7.0,東北東,9.5,東
 2015-08-11,02:00,0.0,16.8,6.1,東,8.8,東北東
 2015-08-11,02:10,0.0,16.9,6.1,東北東,8.7,東北東
 2015-08-11,02:20,0.0,16.9,6.7,東北東,9.3,東北東
 2015-08-11,02:30,0.0,16.8,6.8,東北東,9.3,東北東
 2015-08-11,02:40,0.0,16.9,6.9,東北東,9.3,東北東
 2015-08-11,02:50,0.0,16.7,7.0,東北東,9.6,東
 2015-08-11,03:00,0.0,16.7,5.6,東,8.0,東
 2015-08-11,03:10,0.0,16.8,5.5,東,8.0,東
 2015-08-11,03:20,0.0,16.8,5.8,東,7.4,東
 2015-08-11,03:30,0.0,16.9,6.0,東,7.9,東
 2015-08-11,03:40,0.0,17.1,5.7,東,7.3,東南東
 2015-08-11,03:50,0.0,17.0,6.0,東南東,7.7,東
 2015-08-11,04:00,0.0,16.9,6.1,東,7.6,東南東
 2015-08-11,04:10,0.0,16.9,6.7,東南東,8.4,東南東
 2015-08-11,04:20,0.0,16.9,6.3,東南東,8.2,東南東
 2015-08-11,04:30,0.0,16.9,5.8,東南東,7.4,東,0
 2015-08-11,04:40,0.0,16.8,5.6,東南東,7.3,東,0
 2015-08-11,04:50,0.0,16.9,5.7,東,7.7,東,0
 2015-08-11,05:00,0.0,17.0,5.5,東,8.3,東,0
 2015-08-11,05:10,0.0,16.9,5.7,東,8.4,東,0
 2015-08-11,05:20,0.0,16.7,6.2,東,8.8,東,0
 2015-08-11,05:30,0.0,16.6,6.7,東北東,8.8,東,0
 2015-08-11,05:40,0.0,16.5,6.0,東,9.1,東,0
 2015-08-11,05:50,0.0,16.7,6.0,東,8.0,東,0
 2015-08-11,06:00,0.0,16.7,5.6,東,7.7,東,0
 2015-08-11,06:10,0.0,16.6,6.1,東,8.1,東,0
 2015-08-11,06:20,0.0,16.8,5.4,東,7.7,東,0
 2015-08-11,06:30,0.0,16.9,5.6,東,7.7,東,0
 2015-08-11,06:40,0.0,16.9,5.4,東,7.2,東,0
 2015-08-11,06:50,0.0,17.1,5.1,東,6.9,東,0
 2015-08-11,07:00,0.0,17.1,5.0,東,6.9,東,0
 2015-08-11,07:10,0.0,17.0,5.2,東,7.1,東,0
 2015-08-11,07:20,0.0,16.9,5.4,東,8.0,東,0
 2015-08-11,07:30,0.0,17.0,5.8,東,8.4,東,0
 2015-08-11,07:40,0.0,17.0,5.7,東,8.0,東北東,0
 2015-08-11,07:50,0.0,17.1,5.4,東,7.9,東北東,0
 2015-08-11,08:00,0.0,16.9,6.7,東北東,9.0,東北東,0
 2015-08-11,08:10,0.0,16.9,6.4,東,8.8,東,0
 2015-08-11,08:20,0.0,17.0,5.6,東,8.0,東,0
 2015-08-11,08:30,0.0,17.1,5.4,東,8.0,東,0
 2015-08-11,08:40,0.0,17.1,5.3,東,7.6,東,0
 2015-08-11,08:50,0.0,17.2,5.4,東,7.6,東,0
 2015-08-11,09:00,0.0,17.3,5.2,東,6.8,東,0
 2015-08-11,09:10,0.0,17.4,5.4,東,7.3,東,0
 2015-08-11,09:20,0.0,17.4,5.6,東,7.5,東,0
 2015-08-11,09:30,0.0,17.4,5.4,東,7.6,東,0
 2015-08-11,09:40,0.0,17.5,5.3,東,7.6,東,0
 2015-08-11,09:50,0.0,17.6,5.7,東,7.5,東,0
 2015-08-11,10:00,0.0,17.3,6.3,東,9.0,東,0
 2015-08-11,10:10,0.0,17.4,6.8,東,9.5,東,0
 2015-08-11,10:20,0.0,17.7,5.8,東,8.3,東,0
 2015-08-11,10:30,0.0,17.8,5.7,東,8.3,東,0
 2015-08-11,10:40,0.0,17.5,6.7,東北東,8.5,東北東,0
 2015-08-11,10:50,0.0,17.5,6.5,東北東,8.6,東北東,0
 2015-08-11,11:00,0.0,17.6,5.9,東北東,8.2,東北東,0
 2015-08-11,11:10,0.0,17.5,5.8,東北東,7.8,東,0
